,lat,lng,date,addr,turst
0,42.394106,-82.9474,2015/8/28,4331  BARHAM,True
1,42.395122,-83.005077,2015/8/28,9707  BESSEMORE,True
2,42.40322,-82.946476,2015/8/28,5315  BERKSHIRE,True
3,42.44664,-82.947207,2015/8/28,16670  BRINGARD DR,True
4,42.276956,-83.147536,2015/8/28,1454  BEATRICE,True
5,42.400373,-82.94705,2015/8/28,5035  BALFOUR,True
6,42.402349,-82.948348,2015/8/28,5297  BALFOUR,True
7,42.402497,-82.948445,2015/8/28,5315  BALFOUR,True
8,42.402275,-82.948299,2015/8/28,5280  BALFOUR,True
9,42.366963,-82.935172,2015/8/28,427  ASHLAND,True
10,42.401202,-82.957525,2015/8/28,5576  ALTER,True
11,42.262621,-83.155227,2015/8/28,3109  BASSETT,True
12,42.36796,-82.935829,2015/8/28,471  ASHLAND,True
13,42.406569,-82.948658,2015/8/28,5807  BERKSHIRE,True
14,42.362541,-82.951905,2015/8/28,478  ALGONQUIN,True
15,42.358253,-83.020241,2015/8/28,3716  BENSON,True
16,42.278392,-83.147524,2015/8/28,1334  ANNABELLE,True
17,,,2015/8/27,15860 W GRAND RIVER,True
18,42.394197,-82.96225,2015/8/27,13934 E WARREN,True
19,42.331215,-83.105337,2015/8/27,4503  MICHIGAN,True
20,42.395554,-82.958486,2015/8/27,14436 E WARREN,True
21,42.410142,-82.994402,2015/8/27,11793  GLENFIELD,True
22,,,2015/8/27,15703 W GRAND RIVER,True
23,42.379869,-82.94479,2015/8/27,14725  KERCHEVAL,True
24,42.359043,-83.194882,2015/8/25,8846  WHITCOMB,True
25,42.358256,-83.190986,2015/8/24,14944  JOY,True
26,42.388097,-83.223597,2015/8/24,14015  GREENVIEW,True
27,42.4204291212,-82.9811754848,2015/8/24,13982  HOUSTON-WHITTIER,True
28,42.394395,-83.197214,2015/8/24,14511  PREST,True
29,42.377099,-83.099983,2015/8/24,9138  ROSA PARKS BLVD,True
30,42.395306,-83.152558,2015/8/24,8340  LYNDON,True
31,42.352845,-83.22234,2015/8/21,8256  GREENVIEW,True
32,42.384108,-83.000815,2015/8/21,5330  COOPER,True
33,42.429416,-82.948812,2015/8/21,12292  LANSDOWNE,True
34,42.436887,-83.00792,2015/8/21,19346  TEPPERT,True
35,42.434521,-83.055831,2015/8/21,19188  HEALY,True
36,42.364271,-82.982692,2015/8/21,1626  HURLBUT,True
37,42.396811,-83.025281,2015/8/21,7350  ROLAND,True
38,42.390169,-82.965488,2015/8/21,4703  DICKERSON,True
39,42.444146,-83.068884,2015/8/21,20230  REVERE,True
40,42.433468,-83.202172,2015/8/21,19370  MONTROSE,True
41,42.359918,-82.938935,2015/8/21,208  NEWPORT,True
42,42.444305,-83.068892,2015/8/21,20244  REVERE,True
43,42.444551,-83.068903,2015/8/21,20265  REVERE,True
44,42.436519,-83.059967,2015/8/21,19373  SHIELDS,True
45,42.391925,-82.936736,2015/8/21,3661  HAVERHILL,True
46,42.366594,-82.938963,2015/8/21,462  MARLBOROUGH,True
47,42.443821,-83.175555,2015/8/21,20400  WARD,True
48,42.443517,-83.068844,2015/8/21,20175  REVERE,True
49,42.33746,-83.216955,2015/8/21,6411  ASHTON,True
50,42.42049,-83.071903,2015/8/21,17251  MITCHELL,True
51,42.427,-83.060608,2015/8/21,18111  SUNSET,True
52,42.430658,-83.213969,2015/8/21,19130  LINDSAY,True
53,42.370787,-82.97995,2015/8/21,2595  MONTCLAIR,True
54,42.436352,-83.059957,2015/8/21,19356  SHIELDS,True
55,42.420074,-83.058237,2015/8/21,17214  JUSTINE,True
56,42.381964,-83.00245,2015/8/21,5151  BELVIDERE,True
57,42.421876,-83.031337,2015/8/21,6874  BRIMSON,True
58,42.354371,-83.240701,2015/8/21,8456  FIELDING,True
59,42.43427,-83.080492,2015/8/21,19201  LUMPKIN,True
60,42.364587,-83.169102,2015/8/21,9365  APPOLINE,True
61,42.36146,-83.20351,2015/8/21,9133  MANSFIELD,True
62,42.403667,-82.987104,2015/8/21,12011  ELMDALE,True
63,42.384834,-83.220941,2015/8/21,13558  PENROD,True
64,42.359049,-83.19276,2015/8/21,8842  COYLE,True
65,42.35688,-83.190541,2015/8/21,8533  TERRY,True
66,42.35891,-83.190514,2015/8/21,8849  TERRY,True
67,42.3908,-83.250267,2015/8/21,14301  WESTBROOK,True
68,42.359543,-82.986376,2015/8/21,1316  BELVIDERE,True
69,42.415913,-83.188376,2015/8/21,16919  STRATHMOOR,True
70,42.37716,-83.005905,2015/8/21,4776  BURNS,True
71,42.378756,-83.009585,2015/8/21,5096  IROQUOIS,True
72,42.445469,-83.048594,2015/8/21,20288  BUFFALO,True
73,42.434959,-83.028559,2015/8/21,19190  CLIFF,True
74,42.434298,-83.214105,2015/8/21,19463  LINDSAY,True
75,42.373978,-83.007397,2015/8/21,4448  SEMINOLE,True
76,42.414321,-83.149979,2015/8/21,16624  WOODINGHAM,True
77,42.443215,-83.061498,2015/8/21,20111  SUNSET,True
78,42.434966,-83.059872,2015/8/21,19231  SHIELDS,True
79,42.436868,-83.213154,2015/8/21,19783  GILCHRIST,True
80,42.388841,-82.968587,2015/8/21,4654  ALGONQUIN,True
81,42.39863,-82.937518,2015/8/21,4391  THREE MILE DR,True
82,42.444214,-83.068887,2015/8/21,20236  REVERE,True
83,42.35982,-83.189464,2015/8/21,8921  LAUDER,True
84,42.357311,-83.195861,2015/8/21,8588  PREST,True
85,42.433951,-83.05981,2015/8/21,19145  SHIELDS,True
86,42.436103,-83.025341,2015/8/21,19311  STOTTER,True
87,,,2015/8/21,10803  STRATMANN,True
88,,,2015/8/21,15408  WEST PARKWAY,True
89,42.413534,-82.958763,2015/8/21,10418  WAYBURN,True
90,42.407649,-82.948196,2015/8/21,5919  BUCKINGHAM,True
91,42.387677,-83.237969,2015/8/21,13982  VAUGHAN,True
92,42.366623,-82.952292,2015/8/21,713  CONTINENTAL,True
93,,,2015/8/21,13803 E SEVEN MILE,True
94,42.345917,-83.114665,2015/8/20,4440  MCGRAW,True
95,42.353948,-83.191417,2015/8/20,8236  ROBSON,True
96,42.36469,-83.188546,2015/8/20,9394  MARLOWE,True
97,42.361866,-83.142932,2015/8/20,9015  PRAIRIE,True
98,42.42070248,-82.97640183,2015/8/20,14241  HOUSTON-WHITTIER,True
99,42.437551,-82.987646,2015/8/20,19360  HICKORY,True
100,42.431431,-82.99106,2015/8/20,18630  FAIRPORT,True
101,42.431993,-82.992311,2015/8/20,18694  WESTPHALIA,True
102,42.377082,-83.119584,2015/8/20,3233  CALVERT,True
103,42.440332,-82.982885,2015/8/20,19655  RENO,True
104,42.362632,-83.193969,2015/8/20,9235  SUSSEX,True
105,42.367197,-83.116484,2015/8/20,3728  GLADSTONE,True
106,42.424406,-82.986127,2015/8/20,12754  ALCOY,True
107,42.441458,-83.086832,2015/8/20,20015  RIOPELLE,True
108,42.365239,-83.127742,2015/8/20,9007  BEVERLY CT,True
109,42.363343,-83.029673,2015/8/20,3362 E WILLIS,True
110,42.342845,-83.10673,2015/8/20,1465 W GRAND BLVD,True
111,42.409305,-83.065132,2015/8/20,2962  MCLEAN,True
112,42.390881,-83.073735,2015/8/20,9737  CAMERON,True
113,42.384327,-83.009876,2015/8/20,5721  FISCHER,True
114,42.37102,-83.001469,2015/8/20,3879  BURNS,True
115,42.398212,-83.04013,2015/8/20,6008  COMSTOCK,True
116,42.408393,-83.069816,2015/8/20,12850  ARLINGTON,True
117,42.364163,-83.188514,2015/8/20,9346  MARLOWE,True
118,42.419381,-83.077182,2015/8/20,17181  ARLINGTON,True
119,42.367229,-83.114019,2015/8/20,3292  CARTER,True
120,42.443114,-82.993974,2015/8/20,19953  GOULBURN,True
121,42.413737,-83.004503,2015/8/20,11275  MINDEN,True
122,42.376123,-83.140915,2015/8/20,7039  ELMHURST,True
123,42.445696,-83.093075,2015/8/20,20430  HAWTHORNE,True
124,42.377995,-83.005295,2015/8/20,4827  FISCHER,True
125,42.371233,-83.015995,2015/8/20,4495  FIELD,True
126,42.370842,-83.001341,2015/8/20,3856  BURNS,True
127,42.415914,-83.040555,2015/8/20,13404  DWYER,True
128,42.410249,-83.071356,2015/8/20,2439  DEARING,True
129,42.355219,-83.190467,2015/8/20,8353  TERRY,True
130,42.364104,-83.191793,2015/8/20,9359  ROBSON,True
131,42.360093,-83.10922,2015/8/20,3299  HOGARTH,True
132,42.384901,-83.117874,2015/8/20,2667  MONTEREY,True
133,42.362759,-83.116619,2015/8/20,4024 W EUCLID,True
134,42.374345,-83.012837,2015/8/20,4784  SEYBURN,True
135,42.368207,-83.008593,2015/8/20,3750  SEYBURN,True
136,42.374629,-82.94275,2015/8/20,1052  PHILIP,True
137,42.33671,-83.130197,2015/8/20,5287  DANIELS,True
138,42.416325,-83.04057,2015/8/20,13463  DWYER,True
139,42.409027,-83.040354,2015/8/20,11630  DWYER,True
140,42.363226,-83.180037,2015/8/20,9262  DECATUR,True
141,42.418107,-83.041804,2015/8/20,13716  GABLE,True
142,42.342272,-83.100124,2015/8/20,4541  25TH,True
143,,,2015/8/20,8584  MARK TWAIN,True
144,42.363544,-83.164244,2015/8/20,9263  MENDOTA,True
145,42.359571,-83.190539,2015/8/20,8947  TERRY,True
146,42.360831,-83.037572,2015/8/20,4232  CHENE,True
147,42.374185,-82.944982,2015/8/20,1185  CHALMERS,True
148,42.373499,-82.945899,2015/8/20,1060  LAKEWOOD,True
149,42.37036,-83.012895,2015/8/20,4072  TOWNSEND,True
150,42.364692,-83.118517,2015/8/20,4058  BLAINE,True
151,42.374038,-83.160687,2015/8/20,11638  ILENE,True
152,42.351381,-83.091947,2015/8/20,5261  STANTON,True
153,42.441128,-83.103827,2015/8/20,20020  DERBY,True
154,42.363507,-83.116973,2015/8/20,4025- W PHILADELPHIA,True
155,42.377092,-83.130053,2015/8/20,11645  OTSEGO,True
156,42.429732,-83.10735,2015/8/20,404 W ROBINWOOD,True
157,42.431633,-83.251125,2015/8/20,19330  BLACKSTONE,True
158,42.342542,-83.1014,2015/8/20,4585  ROOSEVELT,True
159,42.345552,-83.115584,2015/8/20,4516  MCGRAW,True
160,42.416409,-83.041728,2015/8/20,13476  GABLE,True
161,42.354354,-83.191436,2015/8/20,8270  ROBSON,True
162,42.342709,-83.116459,2015/8/20,5223  31ST,True
163,42.416623,-83.04058,2015/8/20,13505  DWYER,True
164,42.364698,-83.113931,2015/8/20,8511  DEXTER,True
165,42.328766,-83.133464,2015/8/20,4385  51ST,True
166,42.365204,-82.935275,2015/8/20,352  MANISTIQUE,True
167,42.400451,-83.038911,2015/8/20,6243  EDWIN,True
168,42.362171,-83.141843,2015/8/20,9086  BURNETTE,True
169,42.412193,-83.060387,2015/8/20,12604  MORAN,True
170,42.334836,-83.149891,2015/8/20,5848  OGDEN,True
171,42.32407341,-83.11758492,2015/8/20,6438  JOHN KRONK,True
172,42.377367,-83.156703,2015/8/20,12033  INDIANA,True
173,42.365522,-83.118663,2015/8/20,4044  CARTER,True
174,42.424625,-83.089841,2015/8/20,17844  RUSSELL,True
175,42.432025,-83.253558,2015/8/20,19318  BENTLER,True
176,42.355694,-83.031642,2015/8/20,3473  GRANDY,True
177,42.418075,-83.040629,2015/8/20,13709  DWYER,True
178,42.33313,-83.078874,2015/8/17,2628  15TH,True
179,42.435284,-83.029735,2015/8/13,19230  ROGGE,True
180,42.377681,-83.006284,2015/8/13,4856  BURNS,True
181,42.405681,-83.0684,2015/8/13,2420  MCPHERSON,True
182,42.438373,-82.951286,2015/8/13,16308  CORAM,True
183,42.437462,-82.952414,2015/8/13,16253  LAPPIN,True
184,42.315157,-83.130517,2015/8/13,8009  BELLE,True
185,42.407735,-83.141539,2015/8/13,15817  STOEPEL,True
186,42.440093,-82.957009,2015/8/13,15908  LIBERAL,True
187,42.440076,-82.95775,2015/8/13,15848  LIBERAL,True
188,,,2015/8/13,10852  STRATMANN,True
189,42.370985,-83.019856,2015/8/13,6941  GRATIOT,True
190,42.438364,-82.951912,2015/8/13,16276  CORAM,True
191,42.438326,-82.954413,2015/8/13,16117  CORAM,True
192,42.409385,-83.058468,2015/8/13,12267  MORAN,True
193,,,2015/8/13,3955  MT ELLIOTT,True
194,42.353017,-83.229677,2015/8/13,8286  GRANDVILLE,True
195,42.361002,-83.014987,2015/8/13,3118  CONCORD,True
196,42.35086,-83.238127,2015/8/13,8040  HEYDEN,True
197,42.408533,-83.065002,2015/8/13,2925  HALLECK,True
198,42.354894,-83.240719,2015/8/13,8515  FIELDING,True
199,42.349755,-83.213938,2015/8/13,7811  LONGACRE,True
200,42.407282,-83.063983,2015/8/13,2936  MCPHERSON,True
201,42.42163,-83.240409,2015/8/13,18100  HEYDEN,True
202,42.333258,-83.231347,2015/8/13,6038  MINOCK,True
203,42.351142,-83.238138,2015/8/13,8076  HEYDEN,True
204,42.375689,-83.009889,2015/8/13,4853  MAXWELL,True
205,42.439926,-83.0889609,2015/8/13,15231 E STATE FAIR,True
206,42.435687,-83.010152,2015/8/13,19231  ALGONAC,True
207,42.349363,-83.200198,2015/8/13,7720  FORRER,True
208,42.438124,-82.963446,2015/8/13,15293  CORAM,True
209,42.374034,-83.241302,2015/8/13,12000  FIELDING,True
210,42.410078,-83.0563,2015/8/13,3911  SOBIESKI,True
211,42.415403,-83.060254,2015/8/13,13400  RYAN,True
212,42.322198,-83.107478,2015/8/13,2532  CAMPBELL,True
213,42.414052,-83.061652,2015/8/13,13184  MORAN,True
214,42.437129,-83.010198,2015/8/13,19375  ALGONAC,True
215,42.409592,-83.070952,2015/8/13,2402  LAWLEY,True
216,42.362898,-83.009001,2015/8/13,3064  SHERIDAN,True
217,42.410952,-83.050235,2015/8/13,5141  GARVIN,True
218,42.361845,-83.005945,2015/8/13,2901  BALDWIN,True
219,42.354605,-83.218777,2015/8/13,8437  ROSEMONT,True
220,42.360328,-83.110991,2008/12/15,7703  DEXTER,True
221,42.345917,-83.114665,2008/12/15,4440  MCGRAW,True
222,42.328919,-83.122097,2008/12/15,3903  CICOTTE,True
223,42.329186,-83.127211,2008/12/15,6846  PARKWOOD,True
224,42.33182,-83.129384,2008/12/15,4655  BRADEN,True
225,42.324213,-83.118671,2008/12/15,3228  CICOTTE,True
226,,,2008/12/15,4720  THREE MILE,True
227,42.408929,-83.244129,2008/12/15,16191  PATTON,True
228,42.421406,-83.089717,2008/12/15,17378  RUSSELL,True
229,42.421451,-83.089719,2008/12/15,17392  RUSSELL,True
230,42.422908,-83.090982,2008/12/15,17615  CARDONI,True
231,42.406291,-82.947303,2008/12/15,5709  BUCKINGHAM,True
232,42.443884,-83.06782,2008/12/15,20207  NORWOOD,True
233,42.439595,-83.069594,2008/12/15,19706  KLINGER,True
234,42.428868,-83.061799,2008/12/15,18481  DEAN,True
235,42.443017,-83.071822,2008/12/15,20131  CHAREST,True
236,42.428828,-83.061797,2008/12/15,18454  DEAN,True
237,42.326186,-83.11677,2008/12/15,3401  LIVERNOIS,True
238,42.362512,-83.192905,2008/12/15,9200  COYLE,True
239,42.341573,-83.217098,2008/12/15,6826  ASHTON,True
240,42.384344,-83.163183,2008/12/15,13167  BIRWOOD,True
241,42.405445,-83.153477,2008/12/15,15464  NORTHLAWN,True
242,42.364684,-83.113921,2008/12/15,8508  DEXTER,True
243,42.423038,-83.090988,2008/12/15,17598  CARDONI,True
244,42.424164,-83.091037,2008/12/15,17815  CARDONI,True
245,42.435642,-83.067314,2008/12/15,19300  NORWOOD,True
