,weather_1,weather_2,weather_3,weather_4,weather_6,weather_8,weather_9,temperature,pm25
20160101005,1,0,0,0,0,0,0,3,177
20160101006,1,0,0,0,0,0,0,3,177
20160101007,1,0,0,0,0,0,0,3,177
20160101008,1,0,0,0,0,0,0,3,177
20160101009,1,0,0,0,0,0,0,3,177
20160101010,1,0,0,0,0,0,0,3,177
20160101011,1,0,0,0,0,0,0,3,177
20160101012,1,0,0,0,0,0,0,3,186.6666667
20160101013,1,0,0,0,0,0,0,3,196.3333333
20160101014,1,0,0,0,0,0,0,3,206
20160101015,1,0,0,0,0,0,0,3,206
20160101016,1,0,0,0,0,0,0,3,206
20160101017,1,0,0,0,0,0,0,3,206
20160101018,1,0,0,0,0,0,0,3,206
20160101019,1,0,0,0,0,0,0,3,205.6666667
20160101020,1,0,0,0,0,0,0,3,205.3333333
20160101021,1,0,0,0,0,0,0,3,205
20160101022,1,0,0,0,0,0,0,3,205
20160101023,1,0,0,0,0,0,0,3,205
20160101024,1,0,0,0,0,0,0,3,201.6666667
20160101025,1,0,0,0,0,0,0,3,198.3333333
20160101026,1,0,0,0,0,0,0,3,195
20160101027,1,0,0,0,0,0,0,3,195
20160101028,1,0,0,0,0,0,0,3,195
20160101029,1,0,0,0,0,0,0,3,195
20160101030,1,0,0,0,0,0,0,3,195
20160101031,1,0,0,0,0,0,0,3,191.3333333
20160101032,1,0,0,0,0,0,0,3,187.6666667
20160101033,1,0,0,0,0,0,0,3,184
20160101034,1,0,0,0,0,0,0,2.833333333,184
20160101035,1,0,0,0,0,0,0,2.5,184
20160101036,1,0,0,0,0,0,0,2.166666667,184
20160101037,1,0,0,0,0,0,0,2,184
20160101038,1,0,0,0,0,0,0,2,184
20160101039,1,0,0,0,0,0,0,2,184
20160101040,1,0,0,0,0,0,0,2,184
20160101041,1,0,0,0,0,0,0,2,184
20160101042,1,0,0,0,0,0,0,2,183
20160101043,1,0,0,0,0,0,0,2,182
20160101044,1,0,0,0,0,0,0,2,181
20160101045,1,0,0,0,0,0,0,2,181
20160101046,1,0,0,0,0,0,0,2,181
20160101047,0.833333333,0,0,0,0,0.166666667,0,2,181
20160101048,0.5,0,0,0,0,0.5,0,2,179
20160101049,0.166666667,0,0,0,0,0.833333333,0,2,177
20160101050,0,0,0,0,0,1,0,2,175
20160101051,0,0,0,0,0,1,0,2,175
20160101052,0,0,0,0,0,1,0,2.166666667,175
20160101053,0,0,0,0,0,1,0,2.5,175
20160101054,0,0,0,0,0,1,0,2.833333333,176
20160101055,0,0,0,0,0,1,0,3,177
20160101056,0,0,0,0,0,1,0,3,178
20160101057,0,0,0,0,0,1,0,3,178
20160101058,0,0,0,0,0,1,0,3,178
20160101059,0,0.166666667,0,0,0,0.833333333,0,3.166666667,178
20160101060,0,0.5,0,0,0,0.5,0,3.5,180.6666667
20160101061,0,0.833333333,0,0,0,0.166666667,0,3.833333333,183.3333333
20160101062,0,1,0,0,0,0,0,4.166666667,186
20160101063,0,1,0,0,0,0,0,4.5,186
20160101064,0,1,0,0,0,0,0,4.833333333,186
20160101065,0,1,0,0,0,0,0,5,186
20160101066,0,1,0,0,0,0,0,5,192.3333333
20160101067,0,1,0,0,0,0,0,5,198.6666667
20160101068,0,1,0,0,0,0,0,5.333333333,205
20160101069,0,1,0,0,0,0,0,5.666666667,205
20160101070,0,1,0,0,0,0,0,6.333333333,205
20160101071,0,1,0,0,0,0,0,6.666666667,205
20160101072,0,1,0,0,0,0,0,7,205
20160101073,0,1,0,0,0,0,0,7.166666667,213
20160101074,0,1,0,0,0,0,0,7.5,221
20160101075,0,1,0,0,0,0,0,7.833333333,229
20160101076,0,1,0,0,0,0,0,8,229
20160101077,0,1,0,0,0,0,0,8.333333333,229
20160101078,0,1,0,0,0,0,0,8.666666667,230
20160101079,0,1,0,0,0,0,0,9,231
20160101080,0,1,0,0,0,0,0,9.333333333,232
20160101081,0,1,0,0,0,0,0,9.666666667,232
20160101082,0,1,0,0,0,0,0,10,232
20160101083,0,1,0,0,0,0,0,10.16666667,232
20160101084,0,1,0,0,0,0,0,10.5,226
20160101085,0,1,0,0,0,0,0,10.83333333,220
20160101086,0,1,0,0,0,0,0,11,214
20160101087,0,1,0,0,0,0,0,11,214
20160101088,0,1,0,0,0,0,0,11.16666667,214
20160101089,0,1,0,0,0,0,0,11.5,214
20160101090,0,1,0,0,0,0,0,11.83333333,205.6666667
20160101091,0,1,0,0,0,0,0,12,197.3333333
20160101092,0,0.833333333,0,0,0,0,0.166666667,12,189
20160101093,0,0.666666667,0,0,0,0,0.333333333,12,189
20160101094,0,0.666666667,0,0,0,0,0.333333333,12,189
20160101095,0,0.833333333,0,0,0,0,0.166666667,12,189
20160101096,0,1,0,0,0,0,0,12.16666667,182
20160101097,0,1,0,0,0,0,0,12.33333333,175
20160101098,0,1,0,0,0,0,0,12.33333333,168
20160101099,0,1,0,0,0,0,0,12.16666667,168
20160101100,0,1,0,0,0,0,0,12,168
20160101101,0,1,0,0,0,0,0,12,168
20160101102,0,1,0,0,0,0,0,12,168
20160101103,0,1,0,0,0,0,0,11.66666667,163.3333333
20160101104,0,1,0,0,0,0,0,11.33333333,158.6666667
20160101105,0,1,0,0,0,0,0,11,154
20160101106,0,1,0,0,0,0,0,10.66666667,154
20160101107,0,1,0,0,0,0,0,10.33333333,154
20160101108,0,1,0,0,0,0,0,10,151.3333333
20160101109,0,1,0,0,0,0,0,10,148.6666667
20160101110,0,1,0,0,0,0,0,9.833333333,146
20160101111,0,1,0,0,0,0,0,9.833333333,146
20160101112,0,1,0,0,0,0,0,9.833333333,146
20160101113,0,1,0,0,0,0,0,9.666666667,146
20160101114,0,1,0,0,0,0,0,9.333333333,148.3333333
20160101115,0,1,0,0,0,0,0,9,150.6666667
20160101116,0,1,0,0,0,0,0,9,153
20160101117,0,1,0,0,0,0,0,9,153
20160101118,0,1,0,0,0,0,0,9,153
20160101119,0,1,0,0,0,0,0,9,153
20160101120,0,1,0,0,0,0,0,9,149
20160101121,0,1,0,0,0,0,0,8.666666667,145
20160101122,0,1,0,0,0,0,0,8.666666667,141
20160101123,0,1,0,0,0,0,0,8.5,141
20160101124,0,1,0,0,0,0,0,8.5,141
