ID,PredictedProb
0,0.136494
1,0.900907
2,0.719909
7,0.609502
10,0.787285
11,0.663789
13,0.950075
14,0.47972
15,0.896484
16,0.851424
17,0.728061
18,0.84261
19,0.951498
20,0.863586
25,0.847579
26,0.759151
29,0.850224
38,0.963321
41,0.943088
44,0.543386
45,0.18515
47,0.727902
48,0.716977
49,0.847076
50,0.86952
53,0.586704
56,0.594742
59,0.812099
60,0.691569
64,0.707407
65,0.973381
66,0.818464
68,0.840785
69,0.636584
70,0.943596
71,0.853631
72,0.553803
76,0.87963
80,0.767598
82,0.820552
83,0.96864
85,0.858792
86,0.874534
87,0.710559
89,0.758468
97,0.855098
99,0.627901
101,0.760226
102,0.351271
103,0.553572
104,0.442567
106,0.939816
107,0.619502
109,0.951187
111,0.436434
113,0.814726
114,0.612591
118,0.871548
119,0.728404
120,0.918913
123,0.707634
128,0.23811
129,0.80783
131,0.934667
133,0.715474
134,0.744168
136,0.939362
137,0.634963
139,0.740678
140,0.907478
142,0.672725
144,0.848733
146,0.898819
147,0.775893
148,0.918614
150,0.208305
151,0.145156
152,0.942564
155,0.966469
158,0.857104
159,0.59682
160,0.977198
161,0.692279
165,0.942198
166,0.326065
170,0.942906
171,0.796612
174,0.708202
175,0.825745
179,0.768255
180,0.917127
181,0.800407
184,0.694334
185,0.476188
187,0.785892
188,0.884648
190,0.802454
191,0.77203
192,0.609012
193,0.85751
196,0.838519
197,0.638432
198,0.60672
205,0.0720822
211,0.897322
213,0.731442
214,0.791954
217,0.324543
218,0.790153
221,0.766106
222,0.632668
225,0.860895
229,0.644231
236,0.667626
237,0.930769
238,0.822427
239,0.951367
242,0.673593
245,0.903142
246,0.773483
247,0.91625
248,0.992091
254,0.873971
255,0.606815
257,0.964137
259,0.750866
264,0.945671
270,0.658875
272,0.812672
274,0.407748
275,0.344417
278,0.811979
280,0.224939
281,0.257993
282,0.321112
283,0.798707
284,0.925344
286,0.874059
287,0.911759
288,0.935777
289,0.887718
290,0.600108
291,0.574021
294,0.649178
295,0.396023
297,0.555057
299,0.718995
305,0.737404
307,0.622579
308,0.751791
313,0.671863
314,0.782304
315,0.839572
316,0.90323
317,0.854561
319,0.546997
322,0.82642
323,0.810441
324,0.826807
326,0.922806
327,0.580141
329,0.965285
330,0.0564378
331,0.473643
336,0.434052
337,0.46811
338,0.841213
340,0.934983
345,0.436441
347,0.904505
348,0.804689
350,0.983741
352,0.843864
356,0.934134
357,0.936437
358,0.93107
359,0.748067
361,0.814861
363,0.335897
364,0.718886
368,0.901966
376,0.977783
378,0.772449
382,0.841525
384,0.594649
385,0.957292
388,0.167908
389,0.955034
391,0.778058
392,0.710863
395,0.739443
396,0.905146
397,0.82055
399,0.807065
404,0.975973
407,0.501548
409,0.827583
410,0.668988
413,0.44774
414,0.633149
416,0.745602
418,0.804311
419,0.870649
420,0.960679
422,0.957311
423,0.776154
427,0.689365
429,0.981099
430,0.645539
431,0.701189
432,0.609678
433,0.896523
434,0.0627462
436,0.710371
437,0.870762
451,0.663455
452,0.742203
454,0.71737
457,0.910445
458,0.889953
460,0.674073
461,0.941204
462,0.748282
463,0.843702
465,0.941209
467,0.862366
473,0.823846
474,0.952347
480,0.167908
481,0.720311
483,0.865056
484,0.583191
485,0.521231
487,0.957246
490,0.919061
491,0.84012
492,0.617175
496,0.930784
497,0.520905
498,0.688598
499,0.912252
501,0.844143
502,0.928437
503,0.823162
506,0.943597
507,0.763031
508,0.504146
509,0.754729
510,0.805776
511,0.891486
513,0.847897
515,0.951582
521,0.573617
522,0.852037
523,0.889396
525,0.8626
529,0.859289
530,0.672336
531,0.748795
533,0.765384
534,0.640793
535,0.959827
537,0.597795
541,0.635601
542,0.692552
543,0.734097
544,0.843062
545,0.614089
549,0.961276
550,0.885589
551,0.854899
553,0.539491
556,0.917211
558,0.519756
560,0.600561
563,0.584376
564,0.928203
567,0.203222
572,0.692728
573,0.939874
577,0.865839
583,0.902063
584,0.813709
585,0.767956
586,0.79165
588,0.829405
590,0.724614
591,0.767802
593,0.941685
594,0.766354
597,0.855234
598,0.712491
599,0.879108
603,0.878949
604,0.686854
606,0.941911
607,0.407933
609,0.710371
614,0.893055
615,0.847981
616,0.582651
617,0.920592
618,0.851424
619,0.808801
620,0.883948
623,0.74842
625,0.939176
626,0.812538
627,0.929029
632,0.924757
633,0.648827
634,0.860278
635,0.723877
636,0.920046
637,0.926494
638,0.791143
639,0.963409
642,0.561639
643,0.922418
644,0.965356
645,0.203708
646,0.827458
650,0.854579
653,0.705919
654,0.788694
655,0.231444
656,0.830143
657,0.849166
658,0.670822
660,0.493865
661,0.750111
668,0.890534
669,0.66525
671,0.844613
672,0.696126
676,0.93818
678,0.969193
680,0.828529
682,0.889474
684,0.802316
685,0.635973
686,0.592997
687,0.533642
694,0.181885
696,0.603844
697,0.759081
699,0.699221
702,0.967992
707,0.850684
708,0.973651
712,0.972737
717,0.946909
718,0.962557
720,0.538018
721,0.79113
723,0.842103
724,0.690021
727,0.524109
728,0.252
731,0.695703
733,0.851755
735,0.950018
737,0.761127
738,0.913061
740,0.623475
742,0.984909
743,0.553324
745,0.647445
746,0.770432
747,0.503522
748,0.993381
749,0.85334
750,0.923961
753,0.758027
755,0.819507
756,0.870333
758,0.481367
760,0.725258
762,0.86562
763,0.719878
765,0.932192
767,0.899178
768,0.961259
770,0.860338
772,0.765567
773,0.878479
774,0.684901
775,0.708245
777,0.406606
778,0.833434
780,0.600753
782,0.877432
783,0.954184
786,0.552333
787,0.920784
788,0.784269
789,0.733936
790,0.687982
793,0.736468
795,0.833677
807,0.752926
809,0.756313
810,0.640076
811,0.469027
813,0.234927
815,0.819543
816,0.705458
821,0.864653
823,0.983652
825,0.869868
826,0.853352
827,0.922496
832,0.924673
833,0.641174
834,0.761896
837,0.840505
838,0.977684
839,0.161956
843,0.633305
844,0.80738
845,0.569608
846,0.733179
848,0.702138
850,0.790178
851,0.867608
852,0.60704
855,0.788267
856,0.969873
861,0.68786
862,0.824723
863,0.925488
864,0.727317
865,0.885383
867,0.675297
868,0.887251
869,0.936442
873,0.632479
875,0.677065
877,0.872027
879,0.680176
880,0.963551
881,0.767569
882,0.700216
883,0.968442
887,0.79396
888,0.632235
890,0.935404
897,0.737014
900,0.832886
902,0.73353
904,0.76201
906,0.655176
910,0.888758
913,0.91403
914,0.73957
915,0.592625
918,0.754708
920,0.933637
923,0.858871
926,0.833737
927,0.634178
929,0.733402
930,0.770205
931,0.97317
932,0.917383
933,0.74969
934,0.837376
936,0.728493
939,0.582463
941,0.909642
943,0.519674
947,0.582561
948,0.80388
949,0.990083
950,0.495629
951,0.731995
952,0.652381
953,0.978765
956,0.825664
961,0.593931
962,0.514518
