ID,PredictedProb
0,0.297912
1,0.77336
2,0.820695
7,0.638716
10,0.754337
11,0.603941
13,0.848373
14,0.53723
15,0.814682
16,0.811885
17,0.761251
18,0.777957
19,0.790758
20,0.831633
25,0.802611
26,0.778027
29,0.752832
38,0.850445
41,0.856957
44,0.553683
45,0.304257
47,0.697549
48,0.716253
49,0.730394
50,0.837507
53,0.519837
56,0.519969
59,0.792312
60,0.693274
64,0.794253
65,0.854884
66,0.793346
68,0.828222
69,0.667036
70,0.840792
71,0.800982
72,0.662853
76,0.82283
80,0.742918
82,0.641566
83,0.843219
85,0.82733
86,0.826592
87,0.693486
89,0.793536
97,0.788728
99,0.664217
101,0.739278
102,0.406067
103,0.557116
104,0.590237
106,0.862725
107,0.62801
109,0.814881
111,0.443199
113,0.759226
114,0.571474
118,0.803936
119,0.67077
120,0.794153
123,0.685079
128,0.319462
129,0.745015
131,0.859306
133,0.665717
134,0.698233
136,0.839476
137,0.675741
139,0.704365
140,0.817231
142,0.651008
144,0.725903
146,0.83829
147,0.777401
148,0.834277
150,0.222691
151,0.180226
152,0.864842
155,0.849949
158,0.836304
159,0.630318
160,0.866793
161,0.67404
165,0.847968
166,0.534772
170,0.839761
171,0.744354
174,0.66992
175,0.657878
179,0.732122
180,0.847348
181,0.765707
184,0.664068
185,0.482053
187,0.812878
188,0.754619
190,0.790397
191,0.703608
192,0.606702
193,0.79069
196,0.827611
197,0.634551
198,0.576253
205,0.158097
211,0.819235
213,0.720296
214,0.793255
217,0.541895
218,0.793777
221,0.743079
222,0.590455
225,0.738862
229,0.701657
236,0.624428
237,0.85673
238,0.684487
239,0.853177
242,0.676886
245,0.827807
246,0.76956
247,0.836518
248,0.867344
254,0.833734
255,0.561836
257,0.850262
259,0.738026
264,0.843145
270,0.699275
272,0.71817
274,0.40094
275,0.40136
278,0.761211
280,0.297806
281,0.239777
282,0.275199
283,0.813436
284,0.852562
286,0.837493
287,0.839586
288,0.818268
289,0.803837
290,0.580631
291,0.70329
294,0.618623
295,0.415813
297,0.597644
299,0.744543
305,0.764732
307,0.535706
308,0.791202
313,0.662332
314,0.788099
315,0.793115
316,0.847334
317,0.822802
319,0.593697
322,0.799932
323,0.828381
324,0.79477
326,0.816247
327,0.668636
329,0.86748
330,0.156886
331,0.462241
336,0.416885
337,0.500737
338,0.797626
340,0.852096
345,0.436975
347,0.839882
348,0.747799
350,0.865633
352,0.743588
356,0.844389
357,0.863889
358,0.861846
359,0.749329
361,0.76765
363,0.414939
364,0.760469
368,0.825351
376,0.726859
378,0.759301
382,0.792749
384,0.576562
385,0.864545
388,0.209418
389,0.862331
391,0.661785
392,0.707082
395,0.742927
396,0.826005
397,0.77
399,0.745742
404,0.866911
407,0.45894
409,0.815126
410,0.775352
413,0.728039
414,0.496026
416,0.765419
418,0.720299
419,0.795017
420,0.834379
422,0.863072
423,0.704167
427,0.696471
429,0.867569
430,0.580834
431,0.647189
432,0.625157
433,0.852369
434,0.164087
436,0.698003
437,0.817698
451,0.662884
452,0.757423
454,0.666459
457,0.824235
458,0.789091
460,0.655836
461,0.852068
462,0.72562
463,0.803691
465,0.845435
467,0.812931
473,0.805279
474,0.811193
480,0.192313
481,0.670438
483,0.832289
484,0.618012
485,0.587924
487,0.811474
490,0.846237
491,0.797251
492,0.640103
496,0.802579
497,0.629854
498,0.662698
499,0.800113
501,0.683961
502,0.792465
503,0.780085
506,0.853904
507,0.733421
508,0.579383
509,0.759976
510,0.792306
511,0.800749
513,0.765707
515,0.844767
521,0.486299
522,0.746598
523,0.830692
525,0.788062
529,0.831188
530,0.626362
531,0.641773
533,0.758803
534,0.667376
535,0.828437
537,0.598222
541,0.63398
542,0.734043
543,0.695108
544,0.795929
545,0.650419
549,0.841351
550,0.814916
551,0.819601
553,0.608917
556,0.830028
558,0.51448
560,0.724864
563,0.524745
564,0.862319
567,0.437005
572,0.602439
573,0.852745
577,0.789129
583,0.814413
584,0.74696
585,0.749612
586,0.763489
588,0.737572
590,0.633168
591,0.756567
593,0.850353
594,0.762313
597,0.764193
598,0.682164
599,0.81656
603,0.787979
604,0.732242
606,0.845527
607,0.653968
609,0.712978
614,0.835319
615,0.827739
616,0.581251
617,0.821222
618,0.813225
619,0.790121
620,0.831194
623,0.707778
625,0.771388
626,0.778072
627,0.845476
632,0.851631
633,0.579618
634,0.755347
635,0.740535
636,0.799681
637,0.806626
638,0.768295
639,0.849545
642,0.51468
643,0.805525
644,0.866938
645,0.43262
646,0.812346
650,0.837284
653,0.685934
654,0.572212
655,0.271502
656,0.796196
657,0.790228
658,0.694839
660,0.46547
661,0.742399
668,0.840159
669,0.700242
671,0.82015
672,0.711615
676,0.844446
678,0.804965
680,0.745301
682,0.867437
684,0.803091
685,0.796953
686,0.664633
687,0.565208
694,0.347545
696,0.625449
697,0.722305
699,0.636487
702,0.851278
707,0.770513
708,0.86747
712,0.857397
717,0.850136
718,0.862788
720,0.524832
721,0.75607
723,0.759913
724,0.668156
727,0.653746
728,0.280058
731,0.787883
733,0.758366
735,0.841835
737,0.73501
738,0.734887
740,0.628173
742,0.864043
743,0.639846
745,0.66728
746,0.818673
747,0.674269
748,0.867895
749,0.836893
750,0.864546
753,0.731433
755,0.757304
756,0.829828
758,0.538363
760,0.72508
762,0.832054
763,0.765254
765,0.841036
767,0.835495
768,0.85562
770,0.732794
772,0.763139
773,0.836909
774,0.738712
775,0.737982
777,0.387222
778,0.838149
780,0.618482
782,0.752104
783,0.847739
786,0.515731
787,0.822253
788,0.766811
789,0.677389
790,0.665892
793,0.747014
795,0.824715
807,0.67087
809,0.792716
810,0.513216
811,0.748722
813,0.205391
815,0.760072
816,0.656677
821,0.827391
823,0.867453
825,0.799429
826,0.830261
827,0.822421
832,0.839713
833,0.696842
834,0.675565
837,0.798197
838,0.867278
839,0.162484
843,0.476793
844,0.777929
845,0.604226
846,0.715913
848,0.707203
850,0.779289
851,0.839504
852,0.66814
855,0.720641
856,0.842704
861,0.679368
862,0.837527
863,0.847421
864,0.593161
865,0.81328
867,0.672824
868,0.81151
869,0.853844
873,0.726062
875,0.674161
877,0.838438
879,0.770435
880,0.867513
881,0.753851
882,0.676997
883,0.867005
887,0.63575
888,0.637476
890,0.852981
897,0.779025
900,0.805917
902,0.747319
904,0.757624
906,0.657407
910,0.827219
913,0.827427
914,0.664533
915,0.452144
918,0.771936
920,0.855496
923,0.838251
